Sentences,Keywords,Intent,ner_ngram,NER,Ner_ngram_length,Values
What are the best places to visit in Paris for a duration of two weeks?,"[['are', 'best', 'duration', 'for', 'in', 'of', 'paris', 'places', 'the', 'to']]",attraction_search,"{'location': [6, 8], 'duration': [4, 5]}","['location', 'duration']","[2, 2]","['Paris', 'two weeks']"
Looking for things to do in Tokyo during a 10 days trip and staying in a luxury hotel.,"[['in', '10', 'and', 'days', 'do', 'during', 'for', 'hotel', 'looking', 'luxury']]",activity_search,"{'location': [5, 7], 'duration': [1, 2], 'hotel_type': [8, 9]}","['location', 'duration', 'hotel_type']","[2, 2, 2]","['Tokyo', '10 days', 'luxury']"
Is there a day tour I can take in Sydney that includes a museum visit and lasts for seven hours?,"[['and', 'can', 'day', 'for', 'hours', 'in', 'includes', 'is', 'lasts', 'museum']]",activity_search,"{'location': [3, 5], 'duration': [8, 9], 'attraction_type': [6, 7]}","['location', 'duration', 'attraction_type']","[2, 2, 2]","['Sydney', 'seven hours', 'museum']"
What activities can I engage in Rome for a stay of two months?,"[['activities', 'can', 'engage', 'for', 'in', 'months', 'of', 'rome', 'stay', 'two']]",activity_search,"{'location': [3, 5], 'duration': [6, 7]}","['location', 'duration']","[2, 2]","['Rome', 'two months']"
Can you suggest a round-trip flight to Bangkok within four days?,"[['bangkok', 'can', 'days', 'flight', 'four', 'round', 'suggest', 'to', 'trip', 'within']]",flight_search,"{'location': [3, 5], 'duration': [7, 8], 'flight_type': [0, 2]}","['location', 'duration', 'flight_type']","[2, 2, 2]","['Bangkok', 'four days', 'round-trip']"
What are the top attractions to visit in Berlin for a three weeks trip?,"[['are', 'attractions', 'berlin', 'for', 'in', 'the', 'three', 'to', 'top', 'trip']]",attraction_search,"{'location': [2, 4], 'duration': [8, 9]}","['location', 'duration']","[2, 2]","['Berlin', 'three weeks']"
Can you help me plan a vacation to Dubai for six days and recommend some budget hotels?,"[['and', 'budget', 'can', 'days', 'dubai', 'for', 'help', 'hotels', 'me', 'plan']]",hotel_search,"{'location': [4, 6], 'duration': [9, 10], 'hotel_type': [7, 8]}","['location', 'duration', 'hotel_type']","[2, 2, 2]","['Dubai', 'six days', 'budget']"
What are the best places to see in London if I have five weeks?,"[['are', 'best', 'five', 'have', 'if', 'in', 'london', 'places', 'see', 'the']]",attraction_search,"{'location': [4, 6], 'duration': [1, 2]}","['location', 'duration']","[2, 2]","['London', 'five weeks']"
What can I do in Athens if I only have one day?,"[['athens', 'can', 'day', 'do', 'have', 'if', 'in', 'one', 'only', 'what']]",activity_search,"{'location': [3, 5], 'duration': [1, 2], 'hotel_type': [8, 9]}","['location', 'duration', 'hotel_type']","[2, 2, 2]","['Athens', 'one day', 'boutique']"
What kind of activities can I pursue in Amsterdam over two and a half years?,"[['activities', 'amsterdam', 'and', 'can', 'half', 'in', 'kind', 'of', 'over', 'pursue']]",activity_search,"{'location': [5, 7], 'duration': [9, 10]}","['location', 'duration']","[2, 2]","['Amsterdam', 'two and a half years']"
What historical sites can I explore in Lisbon over seven days?,"[['can', 'days', 'explore', 'historical', 'in', 'lisbon', 'over', 'seven', 'sites', 'what']]",attraction_search,"{'location': [3, 5], 'duration': [7, 8], 'attraction_type': [4, 5]}","['location', 'duration', 'attraction_type']","[2, 2, 2]","['Lisbon', 'seven days', 'historical sites']"
Is there a direct flight available to Singapore within one hour?,"[['available', 'direct', 'flight', 'hour', 'is', 'one', 'singapore', 'there', 'to', 'within']]",flight_search,"{'location': [5, 7], 'duration': [9, 10], 'flight_type': [1, 2]}","['location', 'duration', 'flight_type']","[2, 2, 2]","['Singapore', 'one hour', 'direct flight']"
Can you recommend places to visit in Venice over three days?,"[['can', 'days', 'in', 'over', 'places', 'recommend', 'three', 'to', 'venice', 'visit']]",attraction_search,"{'location': [4, 6], 'duration': [9, 10]}","['location', 'duration']","[2, 2]","['Venice', 'three days']"
What are the best art galleries in Chicago for a stay of eighteen months?,"[['are', 'art', 'best', 'chicago', 'eighteen', 'for', 'galleries', 'in', 'months', 'of']]",attraction_search,"{'location': [4, 6], 'duration': [1, 2], 'attraction_type': [7, 8]}","['location', 'duration', 'attraction_type']","[2, 2, 2]","['Chicago', 'eighteen months', 'art galleries']"
What should I not miss in Istanbul if I am there for four weeks?,"[['am', 'for', 'four', 'if', 'in', 'istanbul', 'miss', 'not', 'should', 'there']]",activity_search,"{'location': [6, 8], 'duration': [4, 5]}","['location', 'duration']","[2, 2]","['Istanbul', 'four weeks']"
What are the top attractions in Cape Town for a two days visit?,"[['are', 'attractions', 'cape', 'days', 'for', 'in', 'the', 'top', 'town', 'two']]",attraction_search,"{'location': [4, 6], 'duration': [1, 2]}","['location', 'duration']","[2, 2]","['Cape Town', 'two days']"
Are there any quick tours in Los Angeles that last three hours?,"[['angeles', 'any', 'are', 'hours', 'in', 'last', 'los', 'quick', 'that', 'there']]",activity_search,"{'location': [6, 8], 'duration': [4, 5]}","['location', 'duration']","[2, 2]","['Los Angeles', 'three hours']"
What kind of long-term activities can I pursue in Prague over ten years?,"[['activities', 'can', 'in', 'kind', 'long', 'of', 'over', 'prague', 'pursue', 'ten']]",long_stay_activity_search,"{'location': [4, 6], 'duration': [9, 10]}","['location', 'duration']","[2, 2]","['Prague', 'ten years']"
Can you suggest a five minutes activity in the parks near San Francisco?,"[['activity', 'can', 'five', 'francisco', 'in', 'minutes', 'near', 'parks', 'san', 'suggest']]",activity_search,"{'location': [6, 8], 'duration': [4, 5], 'attraction_type': [1, 2]}","['location', 'duration', 'attraction_type']","[2, 2, 2]","['San Francisco', 'five minutes', 'parks']"
What are the top attractions to visit in New York City?,"[['are', 'attractions', 'city', 'in', 'new', 'the', 'to', 'top', 'visit', 'what']]",attraction_search,"{'location': [0, 2]}",['location'],[2],['New York City']
How can I rent a car in Los Angeles for 5th May?,"[['5th', 'angeles', 'can', 'car', 'for', 'how', 'in', 'los', 'may', 'rent']]",car_rental,"{'location': [0, 2], 'date': [1, 2]}","['location', 'date']","[2, 2]","['Los Angeles', '5th May']"
Can you help me find a direct flight from New York to Paris for a business trip from 20th to 25th June?,"[['from', 'to', '20th', '25th', 'business', 'can', 'direct', 'find', 'flight', 'for']]",flight_search,"{'location': [0, 2], 'date': [1, 2], 'flight_type': [1, 2]}","['location', 'date', 'flight_type']","[2, 2, 2]","['New York', '20th to 25th June', 'New York to Paris']"
What are the best sightseeing spots in London?,"[['are', 'best', 'in', 'london', 'sightseeing', 'spots', 'the', 'what']]",attraction_search,"{'location': [0, 2], 'attraction_type': [0, 1]}","['location', 'attraction_type']","[2, 2]","['London', 'attraction sightseeing']"
What are the must-visit attractions in Rome?,"[['are', 'attractions', 'in', 'must', 'rome', 'the', 'visit', 'what']]",attraction_search,"{'location': [0, 2]}",['location'],[2],['Rome']
Looking for hotels in Amsterdam for 3rd July.,"[['for', '3rd', 'amsterdam', 'hotels', 'in', 'july', 'looking']]",hotel_search,"{'location': [0, 2], 'date': [1, 2]}","['location', 'date']","[2, 2]","['Amsterdam', '3rd July']"
What are the must-visit attractions in Paris?,"[['are', 'attractions', 'in', 'must', 'paris', 'the', 'visit', 'what']]",attraction_search,"{'location': [0, 2]}",['location'],[2],['Paris']
How can I rent a luxury car in Barcelona for a trip starting on 10th August?,"[['10th', 'august', 'barcelona', 'can', 'car', 'for', 'how', 'in', 'luxury', 'on']]",car_rental,"{'location': [0, 2], 'date': [1, 2], 'car_type': [0, 2]}","['location', 'date', 'car_type']","[2, 2, 2]","['Barcelona', '10th August', 'luxury']"
I need to book a domestic flight from Mumbai to Delhi for 15th September. Can you help?,"[['to', '15th', 'book', 'can', 'delhi', 'domestic', 'flight', 'for', 'from', 'help']]",flight_search,"{'location': [0, 2], 'date': [1, 2], 'flight_type': [1, 2]}","['location', 'date', 'flight_type']","[2, 2, 2]","['Mumbai to Delhi', '15th September', 'domestic flight']"
How can I book an international flight from Sydney to Tokyo for 20th October?,"[['20th', 'an', 'book', 'can', 'flight', 'for', 'from', 'how', 'international', 'october']]",flight_search,"{'location': [0, 2], 'date': [1, 2], 'flight_type': [1, 2]}","['location', 'date', 'flight_type']","[2, 2, 2]","['Sydney to Tokyo', '20th October', 'international flight']"
What are the best hotels in Paris for a stay from 10th to 15th March?,"[['10th', '15th', 'are', 'best', 'for', 'from', 'hotels', 'in', 'march', 'paris']]",hotel_search,"{'location': [0, 2], 'hotel_name': [1, 3], 'date': [1, 2]}","['location', 'hotel_name', 'date']","[2, 2, 2]","['Paris', '10th to 15th March']"
How can I book a flight to London for 2nd April?,"[['2nd', 'april', 'book', 'can', 'flight', 'for', 'how', 'london', 'to']]",flight_booking,"{'location': [0, 2], 'date': [1, 2]}","['location', 'date']","[2, 2]","['London', '2nd April']"
How can I rent a car in Paris for 10th June?,"[['10th', 'can', 'car', 'for', 'how', 'in', 'june', 'paris', 'rent']]",car_rental,"{'location': [0, 2], 'date': [1, 2]}","['location', 'date']","[2, 2]","['Paris', '10th June']"
I need to book a flight to London for 3rd May. My name is John Doe.,"[['to', '3rd', 'book', 'doe', 'flight', 'for', 'is', 'john', 'london', 'may']]",flight_booking,"{'location': [0, 2], 'date': [1, 2], 'name': [1, 3]}","['location', 'date', 'name']","[2, 2, 2]","['London', '3rd May', 'John Doe']"
Can you suggest a good hotel in New York for a stay from 5th to 10th April? My phone number is 123-456-7890.,"[['10th', '123', '456', '5th', '7890', 'april', 'can', 'for', 'from', 'good']]",hotel_search,"{'location': [0, 2], 'date': [1, 2], 'phone_number': [0, 1]}","['location', 'date', 'phone_number']","[2, 2, 2]","['New York', '5th to 10th April', '123-456-7890']"
Can you recommend some attractions to visit in Rome? My name is Jane Smith.,"[['attractions', 'can', 'in', 'is', 'jane', 'my', 'name', 'recommend', 'rome', 'smith']]",attraction_search,"{'location': [0, 2], 'name': [1, 3]}","['location', 'name']","[2, 2]","['Rome', 'Jane Smith']"
How can I rent a car in Barcelona for 5th April? My phone number is 987-654-3210.,"[['3210', '5th', '654', '987', 'april', 'barcelona', 'can', 'car', 'for', 'how']]",car_rental,"{'location': [0, 2], 'date': [1, 2], 'phone_number': [0, 1]}","['location', 'date', 'phone_number']","[2, 2, 2]","['Barcelona', '5th April', '987-654-3210']"
Can you recommend some attractions to visit in London? My phone number is 111-222-3333.,"[['111', '222', '3333', 'attractions', 'can', 'in', 'is', 'london', 'my', 'number']]",attraction_search,"{'location': [0, 2], 'phone_number': [0, 1]}","['location', 'phone_number']","[2, 2]","['London', '111-222-3333']"
What are the best hotels in Paris for John's stay from 2023-03-10 to 2023-03-15 at 08:00?,"[['03', '2023', '00', '08', '10', '15', 'are', 'at', 'best', 'for']]",hotel_search,"{'location': [0, 2], 'date': [1, 2], 'time': [0, 1], 'name': [1, 3]}","['location', 'date', 'time', 'name']","[2, 2, 2, 2]","['Paris', '2023-03-10 to 2023-03-15', '08:00']"
How can Alice rent a car in Los Angeles for 2023-05-05 at 14:00?,"[['05', '00', '14', '2023', 'alice', 'angeles', 'at', 'can', 'car', 'for']]",car_rental,"{'location': [0, 2], 'date': [1, 2], 'time': [0, 1], 'name': [1, 3]}","['location', 'date', 'time', 'name']","[2, 2, 2, 2]","['Los Angeles', '2023-05-05', '14:00']"
Can you help Bob find a direct flight from New York to Paris for a business trip from 2023-06-20 to 2023-06-25 at 09:00?,"[['06', '2023', 'from', 'to', '09', '20', '25', 'at', 'bob', 'business']]",flight_search,"{'location': [0, 2], 'date': [1, 2], 'time': [0, 1], 'name': [1, 3]}","['location', 'date', 'time', 'name']","[2, 2, 2, 2]","['New York', '2023-06-20 to 2023-06-25', '09:00']"
What are the top attractions to visit in Sydney?,"[['are', 'attractions', 'in', 'sydney', 'the', 'to', 'top', 'visit', 'what']]",attraction_search,"{'location': [0, 2]}",['location'],[2],['Sydney']
How can I rent a car in Los Angeles for 5th May?,"[['5th', 'angeles', 'can', 'car', 'for', 'how', 'in', 'los', 'may', 'rent']]",car_rental,"{'location': [0, 2], 'date': [1, 2]}","['location', 'date']","[2, 2]","['Los Angeles', '5th May']"
Can you help me find a direct flight from Singapore to Bali for a vacation from 10th to 15th July?,"[['from', 'to', '10th', '15th', 'bali', 'can', 'direct', 'find', 'flight', 'for']]",flight_search,"{'location': [0, 2], 'date': [1, 2], 'flight_type': [1, 3]}","['location', 'date', 'flight_type']","[2, 2, 2]","['Singapore', '10th to 15th July', 'Singapore to Bali']"
What are the best sightseeing spots in Tokyo?,"[['are', 'best', 'in', 'sightseeing', 'spots', 'the', 'tokyo', 'what']]",attraction_search,"{'location': [0, 2], 'attraction_type': [1, 4]}","['location', 'attraction_type']","[2, 2]","['Tokyo', 'attraction sightseeing']"
What are the must-visit attractions in Barcelona?,"[['are', 'attractions', 'barcelona', 'in', 'must', 'the', 'visit', 'what']]",attraction_search,"{'location': [0, 2]}",['location'],[2],['Barcelona']
"What are the best hotels in Paris for John's stay from 2023-03-10 to 2023-03-15 at 08:00? Also, what museums are near 123 Main Street?","[['03', '2023', 'are', 'what', '08', '10', '123', '15', 'also', 'at']]",hotel_search,"{'location': [0, 2], 'date': [1, 2], 'time': [0, 1], 'name': [1, 3], 'address': [4, 8], 'attraction_type': [4, 5]}","['location', 'date', 'time', 'name', 'address', 'attraction_type']","[2, 2, 2, 2, 2, 2]","['Paris', '2023-03-10 to 2023-03-15', '08:00', 'John', '123 Main Street', 'museum']"
"How can Alice rent a car in Los Angeles for 2023-05-05 at 14:00? Also, what parks are near 456 Elm Street?","[['05', '00', '14', '2023', '456', 'alice', 'also', 'angeles', 'are', 'at']]",car_rental,"{'location': [0, 2], 'date': [1, 2], 'time': [0, 1], 'name': [1, 3], 'address': [4, 8], 'attraction_type': [1, 4]}","['location', 'date', 'time', 'name', 'address', 'attraction_type']","[2, 2, 2, 2, 2, 2]","['Los Angeles', '2023-05-05', '14:00', 'Alice', '456 Elm Street', 'park']"
"Can you help Bob find a direct flight from New York to Paris for a business trip from 2023-06-20 to 2023-06-25 at 09:00? Also, what restaurants are near 789 Oak Avenue?","[['06', '2023', 'from', 'to', '00', '09', '20', '25', 'are', 'at']]",flight_search,"{'location': [0, 2], 'date': [1, 2], 'time': [0, 1], 'name': [1, 3], 'address': [4, 8], 'attraction_type': [1, 4]}","['location', 'date', 'time', 'name', 'address', 'attraction_type']","[2, 2, 2, 2, 2, 2]","['New York', '2023-06-20 to 2023-06-25', '09:00', 'Bob', '789 Oak Avenue', 'restaurant']"
What hidden gems are there to explore off the beaten path in Kyoto?,"[['are', 'beaten', 'explore', 'gems', 'hidden', 'in', 'kyoto', 'off', 'path', 'the']]",attraction_search,"{'location': [0, 1]}",['location'],[2],['Kyoto']
Are there any beginner-friendly rock climbing spots in Yosemite National Park?,"[['any', 'are', 'beginner', 'climbing', 'friendly', 'in', 'national', 'park', 'rock', 'spots']]",activity_search,"{'location': [0, 2], 'activity': [1, 3]}","['location', 'activity']","[2, 2]","['Yosemite National Park', 'rock climbing']"
Where can I find the best spots to try authentic Cajun food in New Orleans?,"[['authentic', 'best', 'cajun', 'can', 'find', 'food', 'in', 'new', 'orleans', 'spots']]",restaurant_search,"{'location': [0, 1], 'cuisine': [2, 3]}","['location', 'cuisine']","[2, 2]","['New Orleans', 'authentic Cajun food']"
What are the travel logistics for attending La Tomatina festival in Spain?,"[['are', 'attending', 'festival', 'for', 'in', 'la', 'logistics', 'spain', 'the', 'tomatina']]",trip_planning,"{'event': [0, 2]}",['event'],[2],['La Tomatina festival']
What are the most eco-friendly ways to experience the Great Barrier Reef?,"[['the', 'are', 'barrier', 'eco', 'experience', 'friendly', 'great', 'most', 'reef', 'to']]",activity_search,"{'location': [0, 2]}",['location'],[2],['Great Barrier Reef']
How do I get the most breathtaking sunrise photos at Angkor Wat in Cambodia?,"[['angkor', 'at', 'breathtaking', 'cambodia', 'do', 'get', 'how', 'in', 'most', 'photos']]",photography_tips,"{'location': [0, 1]}",['location'],[2],['Angkor Wat']
"What are some highly-rated backpacking hostels with a social atmosphere in Queenstown, New Zealand?","[['are', 'atmosphere', 'backpacking', 'highly', 'hostels', 'in', 'new', 'queenstown', 'rated', 'social']]",accommodation_search,"{'location': [0, 2], 'accommodation': [1, 3]}","['location', 'accommodation']","[2, 2]","['Queenstown, New Zealand', 'backpacking hostels']"
"What are some unique cultural experiences I can have in Udaipur, India?","[['are', 'can', 'cultural', 'experiences', 'have', 'in', 'india', 'some', 'udaipur', 'unique']]",activity_search,"{'location': [0, 1]}",['location'],[2],"['Udaipur, India']"
"What are the must-see places for a two-week backwater cruise in Kerala, India?","[['are', 'backwater', 'cruise', 'for', 'in', 'india', 'kerala', 'must', 'places', 'see']]",trip_planning,"{'location': [0, 1]}",['location'],[2],"['Kerala, India']"
"Can you recommend some highly-rated Michelin-starred sushi restaurants in Tokyo, Japan?","[['can', 'highly', 'in', 'japan', 'michelin', 'rated', 'recommend', 'restaurants', 'some', 'starred']]",restaurant_search,"{'location': [0, 1], 'cuisine': [2, 3]}","['location', 'cuisine']","[2, 2]","['Tokyo, Japan', 'Michelin-starred sushi restaurants']"
"What are the essential things to know before attending Carnival in Rio de Janeiro, Brazil?","[['are', 'attending', 'before', 'brazil', 'carnival', 'de', 'essential', 'in', 'janeiro', 'know']]",trip_planning,"{'location': [0, 2], 'event': [1, 3]}","['location', 'event']","[2, 2]","['Rio de Janeiro, Brazil', 'Carnival']"
